time_X,NO3,NO3_std_X,time_Y,ALK_darwin_clim,ALK_darwin_clim_std_Y,lat1,lat2,lon1,lon2,depth1,depth2
2016-04-30,11.4598243575,2.36680070102,4.0,2130.24370112,12.9090022827,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-01,,,5.0,2131.39750781,12.7009968477,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-02,,,6.0,2130.9245692,14.2329150765,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-03,,,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-04,,,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-05,,,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-06,,,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-07,11.3907107239,2.34715585445,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-08,,,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-09,,,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-10,,,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-11,,,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-12,,,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-13,,,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-14,11.3164038342,2.33476422779,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-15,,,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-16,,,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-17,,,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-18,,,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-19,,,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-20,,,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-21,11.1159260009,2.35464486723,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-22,,,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-23,,,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-24,,,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
