time_X,sst,sst_std_X,time_Y,ALK_darwin_clim,ALK_darwin_clim_std_Y,lat1,lat2,lon1,lon2,depth1,depth2
2016-04-30,6.46242423035,1.16212577712,4.0,2130.24370112,12.9090022827,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-01,6.48274681053,1.16339102045,5.0,2131.39750781,12.7009968477,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-02,6.47966004754,1.1577485904,6.0,2130.9245692,14.2329150765,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-03,6.51057773317,1.14483675087,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-04,6.59368674131,1.17204290352,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-05,6.61400932152,1.22097698636,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-06,6.73853100952,1.1751605917,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-07,6.79147872801,1.16600632219,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-08,6.91130074979,0.942342762262,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-09,6.89554435415,0.98788068647,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-10,7.02447649809,1.04564517633,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-11,7.06006604124,1.2290630481,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-12,7.02251320559,1.2768069252,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-13,7.56458215899,1.25496838291,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-14,7.65562776317,1.19611840039,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-15,7.6527022905,1.20450914843,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-16,7.60144533948,1.14010504521,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-17,7.65989917576,1.07110305993,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-18,7.73649539209,1.15606585088,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-19,7.86142864847,1.42973248051,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-20,7.70331408026,1.19072920509,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-21,7.73317503621,1.16767315517,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-22,7.754954791,1.10703619238,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-23,7.8004609079,1.02279090598,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-24,7.77861441227,1.11643992562,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-25,7.88943198489,1.19397080668,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-26,7.94617836849,1.1267959324,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-27,8.1331027247,1.10029454836,,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
